Name,Value
APTRIAL_force_available,false
APTRIAL_force_overnight,false
APTRIAL_force_purchase,false
AUDIO_activeProcessingMux,olbyProLogicIIx
AUDIO_alertChimePeriodMs,1000
AUDIO_alertChimeVolume,0.010
AUDIO_ampVersion,@invalid
AUDIO_audioSource,Tegra
AUDIO_balance,0.000
AUDIO_chimeAdjustEnabled,true
AUDIO_chimeAdjustGlobalOffset,-6.000
AUDIO_configurationType,Premium
AUDIO_dolbyAvailable,true
AUDIO_dolbyPermittedForRadio,false
AUDIO_dolbyProLogicIIxPermitted,true
AUDIO_dspState,Ready
AUDIO_dynamicsRecovery,@invalid
AUDIO_entertainmentMute,false
AUDIO_entertainmentVolume,25.000
AUDIO_eqGainChanged,5
AUDIO_fade,0.000
AUDIO_glassBreakConfidence,@invalid
AUDIO_immersiveEffect,50.000
AUDIO_inputLevel0,0.000
AUDIO_inputLevel1,0.000
AUDIO_inputLevel10,0.000
AUDIO_inputLevel11,0.000
AUDIO_inputLevel12,0.000
AUDIO_inputLevel13,0.000
AUDIO_inputLevel14,0.000
AUDIO_inputLevel15,0.000
AUDIO_inputLevel2,0.000
AUDIO_inputLevel3,0.000
AUDIO_inputLevel4,0.000
AUDIO_inputLevel5,0.000
AUDIO_inputLevel6,0.000
AUDIO_inputLevel7,0.000
AUDIO_inputLevel8,0.000
AUDIO_inputLevel9,0.000
AUDIO_levelsChanged,11883
AUDIO_lockChimePeriodMs,500
AUDIO_lockChimeVolume,0.010
AUDIO_masterMute,false
AUDIO_microphoneRecording,false
AUDIO_mixerGainEntertainment,0.000
AUDIO_mixerGainMedia1,-200.000
AUDIO_mixerGainMedia2,-200.000
AUDIO_navigationVolume,0.000
AUDIO_navigationZones,69
AUDIO_outputLevel0,0.000
AUDIO_outputLevel1,0.000
AUDIO_outputLevel10,0.000
AUDIO_outputLevel11,0.000
AUDIO_outputLevel12,0.000
AUDIO_outputLevel2,0.000
AUDIO_outputLevel3,0.000
AUDIO_outputLevel4,0.000
AUDIO_outputLevel5,0.000
AUDIO_outputLevel6,0.000
AUDIO_outputLevel7,0.000
AUDIO_outputLevel8,0.000
AUDIO_outputLevel9,0.000
AUDIO_phoneRXMute,true
AUDIO_phoneRXVolume,51.000
AUDIO_processingMux,olbyProLogicIIx
AUDIO_pwsGain,-20.000
AUDIO_safetyMuteEnabled,false
AUDIO_speedEffect,0.000
AUDIO_tunerMute,false
AUDIO_turnSignalPeriodMs,680
AUDIO_turnSignalVolume,0.007
AUDIO_version,16022901/02000474
AUDIO_volumeMux,DSPC
BC_trailerDetected,@invalid
BLUETOOTH_A2DPSourceId,0
BLUETOOTH_A2DPSourceName,
BLUETOOTH_A2DPState,Disconnected
BLUETOOTH_HFPState,Disconnected
BLUETOOTH_RSSI,0
BLUETOOTH_antennaConnected,@invalid
BLUETOOTH_autoconnectActive,false
BLUETOOTH_checkPairingResults,0
BLUETOOTH_connectedDeviceId,0
BLUETOOTH_connectionsChanged,0
BLUETOOTH_enabled,false
BLUETOOTH_forgetDeviceOperationCounter,0
BLUETOOTH_forgottenDeviceId,0
BLUETOOTH_inquiryEnded,true
BLUETOOTH_inquiryResults,
BLUETOOTH_lastPairedId,0
BLUETOOTH_outgoingMessagesSupported,@invalid
BLUETOOTH_pairingPin,@invalid
BLUETOOTH_pairingResults,Failed1
BLUETOOTH_phoneError,None
BLUETOOTH_phoneMake,
BLUETOOTH_phoneModel,
BLUETOOTH_phoneSignalLevel,0
BLUETOOTH_phoneVRStatus,Undefined
BLUETOOTH_phoneVersion,
BLUETOOTH_serviceMode,0
BLUETOOTH_serviceState,Shutdown
BLUETOOTH_startedServices,0
BLUETOOTH_supportedServices,0
BLUETOOTH_version,@invalid
BMS_beginningOfLifePackEnergy,@invalid
BMS_chargePowerAvailable,0.000
BMS_debugDisable,false
BMS_debugEnable,false
BMS_energyBuffer,4.000
BMS_expectedEnergyRemaining,67.100
BMS_idealEnergyRemaining,67.200
BMS_minPackTemperature,1.000
BMS_nominalEnergyRemaining,67.800
BMS_nominalFullPackEnergyRemaining,76.700
BTPhoneErrChanged,0
CAPI_keepAliveReason,vehicle_data
CAPI_keepAliveRequest,@invalid
CAPI_remoteAutopark,Off
CAPI_remoteClosureRequest,None
CAPI_remoteHeartbeat,0
CAPI_remotePreconditionCabinRequest,Off
CAPI_remoteSocketConnected,false
CAPI_smartSummonFindMe,true
CAPI_smartSummonUserStepCount,0
CAPI_summonGoalLocation,@invalid
CAPI_summonGoalOrientation,0.000
CARSERVER_connNetStats,Total=[1749378, 9681755], Map=[PreferCell-11=0,22762],[PreferCell-13=0,6761970],[PreferCell-14=1334,382141],[PreferNone-14=114,78],[PreferWifi-11=0,16093],[PreferWifi-12=1747018,0],[PreferWifi-13=0,2200068],[PreferWifi-14=798,291110],[PreferringCell-13=0,5458],[PreferringNone-14=114,0],[PreferringWifi-13=0,2075]
CARSERVER_connVideoNetUsage,0x0
CARSERVER_connVideoNetUsageResetMonth,11
CD_displayState,0
CHADA_currentRequest,@invalid
CHADA_evseConnectorTemp,@invalid
CHADA_evseCurrentAvailable,@invalid
CHADA_evseProtocolVersion,@invalid
CHADA_flybackVoltage,@invalid
CHADA_pcbaTemp,@invalid
CHADA_state,@invalid
CHADA_vehicleConnectorTemp,@invalid
CHADA_vehicleProtocolVersion,@invalid
CONN_antennaCell,Normal
CONN_antennaCell2,Normal
CONN_antennaGPS,@invalid
CONN_cellAPN,broadband
CONN_cellActive,true
CONN_cellAppVersion,01.310
CONN_cellBand,@invalid
CONN_cellBandwidth,2 band/5 up/5 down
CONN_cellBootVersion,@invalid
CONN_cellCapabilities,@invalid
CONN_cellChannel,875
CONN_cellConnected,true
CONN_cellDialAttempts,0
CONN_cellEMMState,@invalid
CONN_cellEid,@invalid
CONN_cellErrorCode,@invalid
CONN_cellGMMState,@invalid
CONN_cellGPRSState,@invalid
CONN_cellGeneralIndicator,@invalid
CONN_cellInternetCheckFailed,0
CONN_cellLimitedService,false
CONN_cellLocalTime,@invalid
CONN_cellMMState,@invalid
CONN_cellMode,@invalid
CONN_cellModel,ALS3-US
CONN_cellModemRecoveryResets,0
CONN_cellNetwork,LTE
CONN_cellOperator,AT&T
CONN_cellPSState,1
CONN_cellReceivePower,-101
CONN_cellRoamingDisallowed,false
CONN_cellRoamingPolicyVer,0
CONN_cellSMSCounter,@invalid
CONN_cellSearch,false
CONN_cellSignalBars,1
CONN_cellSignalStrength,-101
CONN_cellSimSelection,@invalid
CONN_cellSystemMode,4G
CONN_cellTimeZone,@invalid
CONN_cellUTCTime,@invalid
CONN_connectedToInternet,true
CONN_gwMonitorModemPower,true
CONN_modemCommandResponse,@invalid
CONN_modemConfig,gemalto_lte
CONN_modemResetLoopDetected,0
CONN_registrationStatus,@invalid
CONN_searchTimerExpiry,0
CONN_version,1.1
CONN_vpnConnected,true
CONN_wifiActive,true
CONN_wifiConnected,true
CONN_wifiInterfaceIP,192.168.1.41
CONN_wifiInternetCheckFailed,0
CONN_wifiOnlineCheckFailed,0
CONN_wifiRecoveryReset,0
DASHCAM_driveRemoved,false
DASMapDbg_CSASource,@invalid
DASMapDbg_CurrentGeohash,@invalid
DASMapDbg_DbEntrySelected,false
DASMapDbg_DbFilesLoaded,false
DASMapDbg_DbFitSuccessful,false
DASMapDbg_DbIntegrationSuccess,false
DASMapDbg_NumPointsToPolyFit,0.000
DASMapDbg_adasAppDebugTrigger,0
DASMapDbg_autoParkAvailability,@invalid
DASMapDbg_autosteerRestricted,false
DASMapDbg_blacklistSource,@invalid
DASMapDbg_controlPointHeading,0.000
DASMapDbg_controlPointLat,0.000
DASMapDbg_controlPointLon,0.000
DASMapDbg_controlledAccess,false
DASMapDbg_csaCurvHealth,@invalid
DASMapDbg_csaCurvMapFitRoadAngle,@invalid
DASMapDbg_csaCurvMapFitRoadDistance,@invalid
DASMapDbg_csaCurvPolyC1,@invalid
DASMapDbg_csaCurvPolyC2,@invalid
DASMapDbg_csaCurvPolyC3,@invalid
DASMapDbg_csaCurvValid,@invalid
DASMapDbg_csaMppPt0X,@invalid
DASMapDbg_csaMppPt0Y,@invalid
DASMapDbg_csaMppPt1X,@invalid
DASMapDbg_csaMppPt1Y,@invalid
DASMapDbg_csaMppPt2X,@invalid
DASMapDbg_csaMppPt2Y,@invalid
DASMapDbg_csaMppPt3X,@invalid
DASMapDbg_csaMppPt3Y,@invalid
DASMapDbg_csaMppPt4X,@invalid
DASMapDbg_csaMppPt4Y,@invalid
DASMapDbg_csaMppPt5X,@invalid
DASMapDbg_csaMppPt5Y,@invalid
DASMapDbg_csaMppVehicleSORX,@invalid
DASMapDbg_csaMppVehicleSORY,@invalid
DASMapDbg_currentlySendingDatabaseValues,false
DASMapDbg_curvatureHealth,0
DASMapDbg_curvatureMapFitRoadAngle,@invalid
DASMapDbg_curvatureMapFitRoadDistance,@invalid
DASMapDbg_curvaturePolyC1,@invalid
DASMapDbg_curvaturePolyC2,@invalid
DASMapDbg_curvaturePolyC3,@invalid
DASMapDbg_curvatureTrigger,0
DASMapDbg_curvatureValid,false
DASMapDbg_distanceToControlPoint,0.000
DASMapDbg_distanceToEndOfNextRadarTarget,0.000
DASMapDbg_distanceToNextRadarTarget,0.000
DASMapDbg_fleetAcceleration,0.000
DASMapDbg_fleetSpeed,0.000
DASMapDbg_geometrySource,@invalid
DASMapDbg_gpsHeading,0.000
DASMapDbg_gpsLat,0.000
DASMapDbg_gpsLon,0.000
DASMapDbg_headingDiffToControlPoint,0.000
DASMapDbg_heightOfNextRadarTarget,0.000
DASMapDbg_highestVehicleSpeedReachedMPH,0.000
DASMapDbg_hmmSplineProbability,0.000
DASMapDbg_integratedGpsHeading,0.000
DASMapDbg_integratedGpsLat,0.000
DASMapDbg_integratedGpsLon,0.000
DASMapDbg_metaDataSource,@invalid
DASMapDbg_metersSuppressingSpeedRestriction,0.000
DASMapDbg_neverCloseToMap,false
DASMapDbg_nextBranchDistanceInMeters,0.000
DASMapDbg_nextBranchOffRampSide,@invalid
DASMapDbg_offrampCurvHealth,@invalid
DASMapDbg_offrampCurvMapFitRoadAngle,@invalid
DASMapDbg_offrampCurvMapFitRoadDistance,@invalid
DASMapDbg_offrampCurvPolyC1,@invalid
DASMapDbg_offrampCurvPolyC2,@invalid
DASMapDbg_offrampCurvPolyC3,@invalid
DASMapDbg_offrampCurvValid,@invalid
DASMapDbg_onHighway,false
DASMapDbg_pedalMisapplicationMitigationAvailability,@invalid
DASMapDbg_pedalMisapplicationMitigationEnabled,false
DASMapDbg_radarBrakingEnabled,false
DASMapDbg_ramp_type,@invalid
DASMapDbg_recentLargeHeadingChange,false
DASMapDbg_roadClass,@invalid
DASMapDbg_speedLimit,0.000
DASMapDbg_speedLimitUnitsMetric,false
DASMapDbg_tValLat,0.000
DASMapDbg_tValLon,0.000
DASMapDbg_tileBlacklistAvailable,false
DASMapDbg_tileCenterTileVersion,@invalid
DASMapDbg_tileCenterTileVersionPlusSchema,@invalid
DASMapDbg_tileCurrentHash,@invalid
DASMapDbg_tileDataValid,false
DASMapDbg_tileDistanceFromSpline,0.000
DASMapDbg_tileNearestSpline,0
DASMapDbg_tileSplineT,0.000
DASMapDbg_tileSplineWidth,0.000
DASMapDbg_tileTrust,0.000
DASMapDbg_trustRadarMap,false
DASMapDbg_tunnel,false
DASUI_capture,@invalid
DASUI_drivableSpace,@invalid
DASUI_grid,@invalid
DASUI_occupancy,@invalid
DASUI_scale,3000.000
DASUI_scale2,3000.000
DASUI_showAllVehiclesIC,@invalid
DASUI_topDown,@invalid
DASUI_visualizeCityStreetsString,true
DASUI_visualizeControllerString,@invalid
DASUI_visualizeDriveOnNavString,true
DASUI_visualizeMapString,@invalid
DASUI_visualizePlannerString,@invalid
DASUI_visualizeStateMachineString,@invalid
DASUI_visualizeVisionString,@invalid
DAS_ACC_report,@invalid
DAS_accSpeedLimit,@invalid
DAS_accState,@invalid
DAS_autoEmergencyBraking,@invalid
DAS_autoLaneChangeState,@invalid
DAS_autoparkReady,@invalid
DAS_autopilotAbortReason,@invalid
DAS_autopilotActivationFailure,@invalid
DAS_autopilotHandsOnState,@invalid
DAS_autopilotState,@invalid
DAS_autosteerBottsDotsUsage,@invalid
DAS_autosteerHPPUsage,@invalid
DAS_autosteerHealthAnomalyLevel,@invalid
DAS_autosteerHealthState,@invalid
DAS_autosteerMIA,@invalid
DAS_autosteerModelUsage,@invalid
DAS_autosteerNavigationUsage,@invalid
DAS_autosteerVehiclesUsage,@invalid
DAS_behaviorReport,@invalid
DAS_behaviorType,@invalid
DAS_blindSpotRearLeft,@invalid
DAS_blindSpotRearRight,@invalid
DAS_clipRecordingStatus,@invalid
DAS_constructionZone,@invalid
DAS_controlDistance,@invalid
DAS_controllerHealth,@invalid
DAS_controllerRef,@invalid
DAS_cruiseCutInVehicleDistance,@invalid
DAS_cruiseCutInVehicleID,@invalid
DAS_cruiseCutInVehicleLatPosition,@invalid
DAS_cruiseCutInVehicleRelVelocity,@invalid
DAS_cruiseCutInVehicleRelevantForControl,@invalid
DAS_cruiseCutInVehicleType,@invalid
DAS_cruiseHold,@invalid
DAS_cruiseLeadVehicle2Distance,@invalid
DAS_cruiseLeadVehicle2ID,@invalid
DAS_cruiseLeadVehicle2LatPosition,@invalid
DAS_cruiseLeadVehicle2RelVelocity,@invalid
DAS_cruiseLeadVehicle2RelevantForControl,@invalid
DAS_cruiseLeadVehicle2Type,@invalid
DAS_cruiseLeadVehicleDistance,@invalid
DAS_cruiseLeadVehicleID,@invalid
DAS_cruiseLeadVehicleLatPosition,@invalid
DAS_cruiseLeadVehicleRelVelocity,@invalid
DAS_cruiseLeadVehicleRelevantForControl,@invalid
DAS_cruiseLeadVehicleType,@invalid
DAS_cruiseLeftVehicle2Distance,@invalid
DAS_cruiseLeftVehicle2ID,@invalid
DAS_cruiseLeftVehicle2LatPosition,@invalid
DAS_cruiseLeftVehicle2RelVelocity,@invalid
DAS_cruiseLeftVehicle2RelevantForControl,@invalid
DAS_cruiseLeftVehicle2Type,@invalid
DAS_cruiseLeftVehicleDistance,@invalid
DAS_cruiseLeftVehicleID,@invalid
DAS_cruiseLeftVehicleLatPosition,@invalid
DAS_cruiseLeftVehicleRelVelocity,@invalid
DAS_cruiseLeftVehicleRelevantForControl,@invalid
DAS_cruiseLeftVehicleType,@invalid
DAS_cruiseRightVehicle2Distance,@invalid
DAS_cruiseRightVehicle2ID,@invalid
DAS_cruiseRightVehicle2LatPosition,@invalid
DAS_cruiseRightVehicle2RelVelocity,@invalid
DAS_cruiseRightVehicle2RelevantForControl,@invalid
DAS_cruiseRightVehicle2Type,@invalid
DAS_cruiseRightVehicleDistance,@invalid
DAS_cruiseRightVehicleID,@invalid
DAS_cruiseRightVehicleLatPosition,@invalid
